agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,4/6/12,351
USGS,9058000,4/7/12,338
USGS,9058000,4/8/12,330
USGS,9058000,4/9/12,326
USGS,9058000,4/10/12,332
USGS,9058000,4/11/12,329
USGS,9058000,4/12/12,336
USGS,9058000,4/13/12,339
USGS,9058000,4/14/12,325
USGS,9058000,4/15/12,326
USGS,9058000,4/16/12,325
USGS,9058000,4/17/12,321
USGS,9058000,4/18/12,319
USGS,9058000,4/19/12,321
USGS,9058000,4/20/12,304
USGS,9058000,4/21/12,315
USGS,9058000,4/22/12,329
USGS,9058000,4/23/12,369
USGS,9058000,4/24/12,408
USGS,9058000,4/25/12,441
USGS,9058000,4/26/12,482
USGS,9058000,4/27/12,560
USGS,9058000,4/28/12,624
USGS,9058000,4/29/12,583
USGS,9058000,4/30/12,537
USGS,9058000,5/1/12,481
USGS,9058000,5/2/12,478
USGS,9058000,5/3/12,471
USGS,9058000,5/4/12,471
USGS,9058000,5/5/12,483
USGS,9058000,5/6/12,492
USGS,9058000,5/7/12,503
USGS,9058000,5/8/12,508
USGS,9058000,5/9/12,455
USGS,9058000,5/10/12,415
USGS,9058000,5/11/12,396
USGS,9058000,5/12/12,405
USGS,9058000,5/13/12,412
USGS,9058000,5/14/12,406
USGS,9058000,5/15/12,372
USGS,9058000,5/16/12,353
USGS,9058000,5/17/12,389
USGS,9058000,5/18/12,377
USGS,9058000,5/19/12,390
USGS,9058000,5/20/12,449
USGS,9058000,5/21/12,402
USGS,9058000,5/22/12,367
USGS,9058000,5/23/12,365
USGS,9058000,5/24/12,438
USGS,9058000,5/25/12,444
USGS,9058000,5/26/12,482
USGS,9058000,5/27/12,432
USGS,9058000,5/28/12,413
USGS,9058000,5/29/12,393
USGS,9058000,5/30/12,361
USGS,9058000,5/31/12,333
USGS,9058000,6/1/12,328
USGS,9058000,6/2/12,332
USGS,9058000,6/3/12,345
USGS,9058000,6/4/12,349
USGS,9058000,6/5/12,323
USGS,9058000,6/6/12,294
USGS,9058000,6/7/12,311
USGS,9058000,6/8/12,338
USGS,9058000,6/9/12,308
USGS,9058000,6/10/12,280
USGS,9058000,6/11/12,266
USGS,9058000,6/12/12,335
USGS,9058000,6/13/12,439
USGS,9058000,6/14/12,604
