ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
1358,"Sherwood and Huitger, 2005","Mill Creek near Chauncy, OH",3.83,0.1307,0.0067,0.0142,5.79,0.46,2.78
1359,"Sherwood and Huitger, 2005",No Name Creek at No Name,9.89,0.0963,0.01632,0.0719,14.4,0.7,
1360,"Sherwood and Huitger, 2005",North Fork at Bath Center,14.45,0.0963,0.00641,0.02823,9.4,0.7,9.1
1361,"Sherwood and Huitger, 2005","North Fork Massie Creek at Cedarville, OH",74.85,0.0197,0.0003,0.0084,13.99,0.91,3.94
1362,"Sherwood and Huitger, 2005",Ohio Brush Creek near West Union,1002.33,0.0378,0.00064,0.03793,63.8,3.7,410.6
1363,"Sherwood and Huitger, 2005","Old Woman Creek at Berlin Road near Huron, OH",57.24,0.1039,0.0019,0.01517,13.93,1.37,17.84
1364,"Sherwood and Huitger, 2005",Price Creek near Brennersville,53.61,0.0242,0.00146,0.03657,17.9,1,
1365,"Sherwood and Huitger, 2005",Salt Creek,196.06,0.1322,0.0015,0.01383,30.02,2.01,59.18
1366,"Sherwood and Huitger, 2005","Salt Creek at Tarlton, OH",29.78,0.0855,0.0065,0.04144,16.73,0.9,26.05
1367,"Sherwood and Huitger, 2005",Sandusky River near Bucyrus,229.99,0.0265,0.00149,0.0443,29.7,1.3,45.6
1368,"Sherwood and Huitger, 2005",Sandy Run near Lake Hope,12.92,0.1199,0.00137,0.00554,9.6,0.8,9.4
1369,"Sherwood and Huitger, 2005","Shade River near Chester, OH",404.04,0.0939,0.0012,0.0179,27.22,2.31,59.47
1370,"Sherwood and Huitger, 2005",Skull Fork near Londonderry,69.67,0.0175,0.0001,0.00347,10.8,1,
1371,"Sherwood and Huitger, 2005",Trail Run,14.12,0.1626,0.0051,0.01866,10.52,0.98,16.71
1372,"Sherwood and Huitger, 2005","Unamed Trib to lost creek near Farmer, OH",10.96,0.1376,0.0018,0.00703,8.9,0.89,7.08
1373,"Sherwood and Huitger, 2005",Walnut Creek near Boughtonville,12.85,0.0583,0.00568,0.04134,10.2,0.7,
1374,"Sherwood and Huitger, 2005",Wayne Creek at Waynesville,2.62,0.1974,0.02659,0.04898,6.3,0.6,7.9
1375,"Sherwood and Huitger, 2005",West Branch Mahoning River near Ravenna,56.46,0.0665,0.00391,0.0392,17.2,1.1,25.8
1376,"Sherwood and Huitger, 2005",Wood Run near Woodsfield,1.37,0.2321,0.0397,0.05183,7.6,0.5,5.4
1377,"Sherwood and Huitger, 2005",Yellow Creek at Botzum,79.51,0.0553,0.00496,0.05983,19.3,1.1,35.4
1378,"Sherwood and Huitger, 2005",Yellow Creek near Hammondsville,380.73,0.0559,0.00333,0.05412,38.5,1.5,82.7
1379,"Sherwood and Huitger, 2005; Li et al., 2015",Beaver Creek,101.53,0.0808,0.0017,0.01562,15.91,1.23,19.51
1380,"Sherwood and Huitger, 2005; Li et al., 2015",Beech Creek,45.07,0.1694,0.0029,0.01113,12.8,1.07,21.95
1381,"Sherwood and Huitger, 2005; Li et al., 2015",Big 4 Hollow Creek,2.62,0.1414,0.0091,0.01343,6.55,0.34,1.53
1382,"Sherwood and Huitger, 2005; Li et al., 2015",Bokengehalas Creek,94.02,0.0584,0.0021,0.01773,19.17,0.81,15.35
1383,"Sherwood and Huitger, 2005; Li et al., 2015",Mad River 1,18.93,0.0783,0.0021,0.01169,11.19,0.72,7.93
1384,"Sherwood and Huitger, 2005; Li et al., 2015",Mill Creek,,0.1307,0.0067,0.0142,5.79,0.46,2.78
1385,"Sherwood and Huitger, 2005; Li et al., 2015",N Fork Massie Cr,74.85,0.0197,0.0003,0.0084,13.99,0.91,3.94
1386,"Sherwood and Huitger, 2005; Li et al., 2015",Neff Run,1.97,0.1367,0.0067,0.00978,4.57,0.33,1.02
1387,"Sherwood and Huitger, 2005; Li et al., 2015",Sandusky Creek,1.89,0.1899,0.0123,0.01699,4.39,0.43,1.87
1388,"Sherwood and Huitger, 2005; Li et al., 2015",Tar Hollow Creek,3.5,0.2768,0.0087,0.01103,7.74,0.58,3.4
1389,"Sherwood and Huitger, 2005; Li et al., 2015",UT to Lost Creek,10.96,0.1376,0.0018,0.00703,8.9,0.89,7.08
1390,"Sherwood and Huitger, 2005",GREENVILLE CREEK NEAR BRADFORD OH,499.87,0.0328,0.0011,0.02786,43.43,1.37,70.51
1391,"Sherwood and Huitger, 2005",TIFFIN RIVER AT STRYKER OH,1061.9,0.71,0.0001,0.00021,37,2.46,54.65
1392,"Singer, 2010",Sacramento River 1,,0.0861,0.00092,0.05407919,152.4,8.35,3157.63
1393,"Singer, 2010",Sacramento River 10,,0.2544,0.00109,0.027525957,114.3,10.6,3368.49
1394,"Singer, 2010",Sacramento River 100,,3.7562,0.00029,0.000540167,142.9,11.54,1913.59
1395,"Singer, 2010",Sacramento River 101,,1.2501,0.00005,0.000227494,152.4,9.38,1902.22
1396,"Singer, 2010",Sacramento River 102,,3.7757,0.00032,0.000548663,161.9,10.68,2178.99
1397,"Singer, 2010",Sacramento River 103,,1.4626,0.00009,0.000340791,133.4,9.14,1535.98
1398,"Singer, 2010",Sacramento River 104,,1.0338,0.00007,0.000458557,181,11.17,2608.97
1399,"Singer, 2010",Sacramento River 105,,1.2869,0.00007,0.000368349,171.5,11.17,2472.03
1400,"Singer, 2010",Sacramento River 11,,0.1903,0.00073,0.026030896,76.2,11.2,1851.44
1401,"Singer, 2010",Sacramento River 12,,0.0892,0.00063,0.052944905,114.3,12.37,3451.26
1402,"Singer, 2010",Sacramento River 13,,0.1854,0.0012,0.050776551,76.2,12.94,2603.78
1403,"Singer, 2010",Sacramento River 14,,0.0548,0.00059,0.075010983,104.8,11.49,2998.19
1404,"Singer, 2010",Sacramento River 15,,0.093,0.00035,0.029750039,95.3,13.05,3792.3
1405,"Singer, 2010",Sacramento River 16,,0.0864,0.00062,0.048538475,114.3,11.16,2896.84
1406,"Singer, 2010",Sacramento River 17,,0.2888,0.00087,0.023408014,114.3,12.82,3677.94
1407,"Singer, 2010",Sacramento River 18,,0.1696,0.00104,0.048051609,171.5,12.93,5411.8
1408,"Singer, 2010",Sacramento River 19,,0.3071,0.00039,0.009433679,152.4,12.26,4688.8
1409,"Singer, 2010",Sacramento River 2,,0.0574,0.00119,0.077784783,152.4,6.19,1689.57
1410,"Singer, 2010",Sacramento River 20,,0.3553,0.00008,0.001607392,228.6,11.78,7646.22
1411,"Singer, 2010",Sacramento River 21,,0.0242,0.00027,0.065737885,133.4,9.72,3719.66
1412,"Singer, 2010",Sacramento River 22,,0.0409,0.00061,0.081378729,171.5,9,3533.11
1413,"Singer, 2010",Sacramento River 23,,0.0365,0.0006,0.080884284,161.9,8.11,2980.24
1414,"Singer, 2010",Sacramento River 24,,0.056,0.00074,0.07314272,104.8,9.14,1608.86
1415,"Singer, 2010",Sacramento River 25,,0.0437,0.00062,0.059552248,133.4,6.92,1929.47
1416,"Singer, 2010",Sacramento River 26,,0.0714,0.00071,0.054465858,133.4,9.03,1867.7
1417,"Singer, 2010",Sacramento River 27,,0.0561,0.00051,0.033150317,114.3,6.02,1403.65
1418,"Singer, 2010",Sacramento River 28,,0.0898,0.00112,0.069330453,133.4,9.18,1958.53
1419,"Singer, 2010",Sacramento River 29,,0.1022,0.00077,0.031583553,142.9,6.92,2065.51
1420,"Singer, 2010",Sacramento River 3,,0.0839,0.00119,0.05526036,95.3,6.43,919.35
1421,"Singer, 2010",Sacramento River 30,,0.2098,0.00038,0.010095306,95.3,9.2,1402.41
1422,"Singer, 2010",Sacramento River 31,,0.0552,0.00052,0.045889815,104.8,8.04,1584.8
1423,"Singer, 2010",Sacramento River 32,,0.126,0.00065,0.028518052,95.3,9.12,1565.16
1424,"Singer, 2010",Sacramento River 33,,0.1511,0.00079,0.028901133,114.3,9.12,1948.91
1425,"Singer, 2010",Sacramento River 34,,0.3793,0.00051,0.008106626,114.3,9.95,2171.92
1426,"Singer, 2010",Sacramento River 35,,0.1479,0.00094,0.044345976,142.9,11.51,3521
1427,"Singer, 2010",Sacramento River 36,,5.7136,0.00059,0.000598293,114.3,9.56,1802.95
1428,"Singer, 2010",Sacramento River 37,,0.0957,0.00048,0.033667833,161.9,11.08,2833.89
1429,"Singer, 2010",Sacramento River 38,,0.0153,0.00018,0.050469445,114.3,7.09,1296.2
1430,"Singer, 2010",Sacramento River 39,,6.1362,0.00073,0.00069341,104.8,9.62,1380.81
1431,"Singer, 2010",Sacramento River 4,,0.0793,0.00078,0.034692787,76.2,5.82,825.12
1432,"Singer, 2010",Sacramento River 40,,0.1417,0.00075,0.018286001,133.4,5.7,1194
1433,"Singer, 2010",Sacramento River 41,,0.0713,0.00016,0.010966874,104.8,8.06,1249.87
1434,"Singer, 2010",Sacramento River 42,,0.0544,0.00055,0.039560921,133.4,6.46,1627.99
1435,"Singer, 2010",Sacramento River 43,,7.4025,0.00135,0.000857414,142.9,7.76,2061.87
1436,"Singer, 2010",Sacramento River 44,,0.0921,0.00041,0.019140497,171.5,7.09,2639.01
1437,"Singer, 2010",Sacramento River 45,,0.05,0.00032,0.029475083,181,7.6,2434.63
1438,"Singer, 2010",Sacramento River 46,,1.4169,0.00022,0.000565194,133.4,6.01,1706.65
1439,"Singer, 2010",Sacramento River 47,,0.0649,0.00014,0.006420659,85.7,4.91,706.57
1440,"Singer, 2010",Sacramento River 48,,0.0747,0.00067,0.033957788,114.3,6.25,1428.33
1441,"Singer, 2010",Sacramento River 49,,9.0645,0.00132,0.000634909,133.4,7.19,1545.07
1442,"Singer, 2010",Sacramento River 5,,0.1112,0.001,0.043900078,76.2,8.05,1577.02
1443,"Singer, 2010",Sacramento River 50,,0.133,0.00087,0.03616963,133.4,9.12,2263.05
1444,"Singer, 2010",Sacramento River 51,,2.2883,0.00021,0.000475227,95.3,8.54,1661.12
1445,"Singer, 2010",Sacramento River 52,,0.03,0.00025,0.04008103,123.8,7.94,1986
1446,"Singer, 2010",Sacramento River 53,,1.615,0.00025,0.000601415,142.9,6.41,1996.99
1447,"Singer, 2010",Sacramento River 54,,0.0474,0.00022,0.015556185,133.4,5.54,1432.59
1448,"Singer, 2010",Sacramento River 55,,0.2268,0.0003,0.004973704,133.4,6.2,1580.88
1449,"Singer, 2010",Sacramento River 56,,1.9541,0.0003,0.000577312,133.4,6.2,1580.88
1450,"Singer, 2010",Sacramento River 57,,10.2057,0.00117,0.000494478,123.8,7.12,1541.87
1451,"Singer, 2010",Sacramento River 58,,0.252,0.00044,0.007223516,123.8,6.83,1817.07
1452,"Singer, 2010",Sacramento River 59,,0.0704,0.00022,0.015662801,142.9,8.27,2246.47
1453,"Singer, 2010",Sacramento River 6,,0.196,0.00161,0.047059965,114.3,9.45,2700.87
1454,"Singer, 2010",Sacramento River 60,,0.0306,0.00016,0.022964812,123.8,7.25,1759.79
1455,"Singer, 2010",Sacramento River 61,,0.1181,0.00049,0.021893314,133.4,8.71,2322.92
1456,"Singer, 2010",Sacramento River 62,,0.2841,0.00132,0.024191561,123.8,8.59,1584.45
1457,"Singer, 2010",Sacramento River 63,,0.037,0.00011,0.016488908,133.4,9.14,2475.66
1458,"Singer, 2010",Sacramento River 64,,0.0805,0.00021,0.015907278,95.3,10.06,1226.64
1459,"Singer, 2010",Sacramento River 65,,8.049,0.00047,0.000358087,85.7,10.12,1144.64
1460,"Singer, 2010",Sacramento River 66,,0.2273,0.0002,0.005387677,114.3,10.1,1743.78
1461,"Singer, 2010",Sacramento River 67,,0.1234,0.00055,0.026084972,114.3,9.66,1500.92
1462,"Singer, 2010",Sacramento River 68,,14.5752,0.00074,0.000355398,85.7,11.55,1326.38
1463,"Singer, 2010",Sacramento River 69,,0.4394,0.00032,0.003551709,85.7,8.05,1000.01
1464,"Singer, 2010",Sacramento River 7,,0.0939,0.00062,0.032955358,104.8,8.23,2338.14
1465,"Singer, 2010",Sacramento River 70,,0.7479,0.00008,0.000793265,95.3,12.24,944.6
1466,"Singer, 2010",Sacramento River 71,,20.3889,0.00103,0.000353569,95.3,11.55,1122.56
1467,"Singer, 2010",Sacramento River 72,,0.3827,0.00025,0.004707294,114.3,11.89,1182.24
1468,"Singer, 2010",Sacramento River 73,,11.4744,0.0005,0.000339634,85.7,12.86,1388.7
1469,"Singer, 2010",Sacramento River 74,,0.0212,0.00003,0.009986455,95.3,11.66,1456.04
1470,"Singer, 2010",Sacramento River 75,,1.2294,0.00007,0.000368113,114.3,10.67,1548.48
1471,"Singer, 2010",Sacramento River 76,,1.9801,0.00013,0.000439965,95.3,11.06,1454.17
1472,"Singer, 2010",Sacramento River 77,,3.1179,0.00016,0.000329487,85.7,10.59,916.98
1473,"Singer, 2010",Sacramento River 78,,1.3893,0.00012,0.000581366,85.7,11.11,1256.32
1474,"Singer, 2010",Sacramento River 79,,2.2976,0.00007,0.000195428,133.4,10.58,1567.21
1475,"Singer, 2010",Sacramento River 8,,0.0176,0.00015,0.056824158,142.9,11.01,4828.51
1476,"Singer, 2010",Sacramento River 80,,1.7519,0.00011,0.000411087,95.3,10.8,1482.45
1477,"Singer, 2010",Sacramento River 81,,1.0437,0.00006,0.000345375,95.3,9.91,1265.94
1478,"Singer, 2010",Sacramento River 82,,1.7533,0.00009,0.000307239,85.7,9.88,1159.54
1479,"Singer, 2010",Sacramento River 83,,1.4685,0.0001,0.000373275,95.3,9.04,991.22
1480,"Singer, 2010",Sacramento River 84,,10.6469,0.00054,0.000357495,85.7,11.63,1096.37
1481,"Singer, 2010",Sacramento River 85,,3.762,0.00025,0.000392874,95.3,9.75,994.71
1482,"Singer, 2010",Sacramento River 86,,11.4147,0.00067,0.000406144,85.7,11.42,1076.29
1483,"Singer, 2010",Sacramento River 87,,0.8786,0.00003,0.00022052,76.2,10.66,795.81
1484,"Singer, 2010",Sacramento River 88,,7.6485,0.00047,0.000433725,76.2,11.65,967.29
1485,"Singer, 2010",Sacramento River 89,,1.1244,0.00006,0.000338544,66.7,10.47,670.32
1486,"Singer, 2010",Sacramento River 9,,0.098,0.00099,0.056973371,152.4,9.31,3063.24
1487,"Singer, 2010",Sacramento River 90,,5.6336,0.00024,0.000339304,66.7,13.14,894.08
1488,"Singer, 2010",Sacramento River 91,,4.5402,0.00023,0.000344824,66.7,11.23,764.11
1489,"Singer, 2010",Sacramento River 92,,0.4184,0.00002,0.00033879,66.7,11.69,787.81
1490,"Singer, 2010",Sacramento River 93,,1.776,0.00019,0.000795503,66.7,12.27,834.72
1491,"Singer, 2010",Sacramento River 94,,2.0618,0.0001,0.000332664,66.7,11.32,792.59
1492,"Singer, 2010",Sacramento River 95,,1.2839,0.00006,0.000350943,76.2,12.39,896.94
1493,"Singer, 2010",Sacramento River 96,,1.3776,0.00008,0.000378593,76.2,10.76,918.03
1494,"Singer, 2010",Sacramento River 97,,14.0895,0.00055,0.000337543,85.7,14.27,1320.54
1495,"Singer, 2010",Sacramento River 98,,14.6366,0.00064,0.000317293,85.7,11.97,1221.05
1496,"Singer, 2010",Sacramento River 99,,14.0228,0.00079,0.000444765,133.4,13.03,2206.89
1497,"Soar and Thorne, 2001","Big Black, nr. Bovina, MS",7283.05,1.5335,0.00015,0.00038,64.9,6.41,425
1498,"Soar and Thorne, 2001","Big Black, Pickins, MS",3866.86,1.4716,0.00021,0.00032,67.6,3.7,279.3
1499,"Soar and Thorne, 2001","Big Raccoon Creek, Coxville, IN",1160.32,1.7084,0.00054,0.0005,39.4,2.61,145.9
1500,"Soar and Thorne, 2001","Big Sioux, Akron, IA",20406.53,0.9117,0.00025,0.00059,58.3,3.55,197.2
1501,"Soar and Thorne, 2001","Black Warrior, Northport, AL",12483.75,3.6359,0.00022,0.00026,109.1,7.09,1324.2
1502,"Soar and Thorne, 2001","Brazos (site A), nr. Humble Camp, TX",116826.68,2.7174,0.00012,0.00022,121.5,8.22,1451.5
1503,"Soar and Thorne, 2001","Brazos (site B), nr. Humble Camp, TX",116826.68,2.3636,0.00012,0.00024,126.1,7.8,1308.8
1504,"Soar and Thorne, 2001","Brouillets Creek, nr. Universal, IN",857.29,0.9772,0.00088,0.00161,28.1,2.95,117.6
1505,"Soar and Thorne, 2001","Buttahatchee, nr. Sulligent, AL",1222.48,3.3238,0.00044,0.00028,21.7,3.49,92.6
1506,"Soar and Thorne, 2001","Cahaba, nr. Sprott, AL",3548.29,5.4501,0.00041,0.0003,61,6.58,816.5
1507,"Soar and Thorne, 2001","Cedar, nr. Conesville, IA",20168.25,0.8094,0.00033,0.00064,210.5,2.59,615.1
1508,"Soar and Thorne, 2001","Chickasawhay, Leakesville, MS",4377.08,1.872,0.00019,0.00039,78.7,6.34,750.4
1509,"Soar and Thorne, 2001","Cimarron (site A), nr. Waynoka, OK",34703.28,1.7167,0.00083,0.00063,125.6,2.15,383.6
1510,"Soar and Thorne, 2001","Cimarron (site B), nr. Waynoka, OK",34703.28,1.4232,0.00083,0.00082,128.5,2.32,415.3
1511,"Soar and Thorne, 2001","Congaree, Columbia, SC",20331.42,0.6338,0.00014,0.00066,101.2,4.93,555.4
1512,"Soar and Thorne, 2001","Cossatot, nr. Dequeen, AR",934.99,14.1641,0.00079,0.00012,49.5,3.55,246.7
1513,"Soar and Thorne, 2001","East Nishnabotna, Red Oak, IA",2315.45,2.6808,0.0006,0.00043,58.6,3.17,307.1
1514,"Soar and Thorne, 2001","Fishing Creek, nr. Enfield, NC",1362.33,0.2975,0.00017,0.00107,43.3,3.09,114.6
1515,"Soar and Thorne, 2001","Hatchie, nr. Stanton, TN",1302.76,2.3091,0.00019,0.00019,44.4,3.81,179.3
1516,"Soar and Thorne, 2001","Iowa (site A), nr. Belle Plaine, IA",6358.43,1.8,0.00033,0.00036,65.4,3.24,287.9
1517,"Soar and Thorne, 2001","Iowa (site B), nr. Belle Plaine, IA",6358.43,1.434,0.00033,0.00047,71.5,3.37,302.7
1518,"Soar and Thorne, 2001","Iowa, Iowa City, IA",8471.86,0.8364,0.00023,0.00054,98.6,3.24,362.1
1519,"Soar and Thorne, 2001","Iowa, Marshalltown, IA",3967.86,1.2045,0.00053,0.00084,61.1,3.15,281.9
1520,"Soar and Thorne, 2001","Leaf, Hattiesburg, MS",4527.3,2.3377,0.00036,0.00042,78.3,4.5,482.6
1521,"Soar and Thorne, 2001","Leaf, nr. Collins, MS",1924.36,1.8411,0.00043,0.00062,82.7,4.38,510.5
1522,"Soar and Thorne, 2001","Licking, Farmers, KY",2141.92,0.46,0.00025,0.00138,43.2,4.19,200.7
1523,"Soar and Thorne, 2001","Lumber, Boardman, NC",3180.51,1.1451,0.00022,0.00017,39.2,1.46,44.6
1524,"Soar and Thorne, 2001","Mud, nr. Lewsburg, KY",234.39,3.2606,0.00028,0.00014,16.3,2.69,37.7
1525,"Soar and Thorne, 2001","Neches, Evadale, TX",20593.01,1.5984,0.00018,0.00023,71.7,3.37,220.1
1526,"Soar and Thorne, 2001","Neuse, Kinston, NC",6972.25,0.4306,0.00015,0.00057,56.7,2.7,135.4
1527,"Soar and Thorne, 2001","Nodaway, Clarinda, IA",1973.57,2.4655,0.00042,0.00035,87,3.39,444.6
1528,"Soar and Thorne, 2001","Nodaway, nr. Burlington Junction, MO",3211.59,2.4866,0.0004,0.00035,119.4,3.59,559.8
1529,"Soar and Thorne, 2001","Nottoway, nr. Sebrell, VA",3732.18,0.1788,0.00016,0.00128,44.2,2.36,75.4
1530,"Soar and Thorne, 2001","Pearl, nr. Bogalusa, LA",17024,0.537,0.00013,0.00065,148.6,4.43,657.3
1531,"Soar and Thorne, 2001","Pearl, nr. Columbia, MS",17024,0.7023,0.0001,0.00051,107.4,5.91,591.3
1532,"Soar and Thorne, 2001","Pee Dee, Peedee, SC",22869.61,0.6651,0.00012,0.00062,105.2,5.67,690.5
1533,"Soar and Thorne, 2001","Red (site A), Index, AR",124319.52,1.7198,0.00014,0.00026,218,5.27,1351.5
1534,"Soar and Thorne, 2001","Red (site B), Index, AR",124319.52,1.6709,0.00014,0.00026,225,5.12,1367.8
1535,"Soar and Thorne, 2001","Red, Clay City, KY",937.58,0.5803,0.0004,0.0016,35.2,3.83,172.7
1536,"Soar and Thorne, 2001","Rock, nr. Rock Valley, IA",4123.26,1.5516,0.00051,0.0005,54.3,2.51,181.4
1537,"Soar and Thorne, 2001","Rough, nr. Dundee, KY",1960.62,2.0444,0.00011,0.00015,37.5,4.6,165.7
1538,"Soar and Thorne, 2001","Sabine, nr. Bon Wier, TX",21313.03,3.8,0.00014,0.00014,145.6,6.27,1199.3
1539,"Soar and Thorne, 2001","South, nr. Parkersburg, NC",981.61,0.3859,0.00027,0.00053,19.8,1.25,18
1540,"Soar and Thorne, 2001","St. Joseph, nr. Newville, IN",1579.89,0.3851,0.00019,0.00061,58.4,2.04,98.2
1541,"Soar and Thorne, 2001","Sugar Creek, nr. Edinburgh, IN",1227.66,0.3673,0.0004,0.00134,35.1,2.03,69.1
1542,"Soar and Thorne, 2001","Tallahala Creek, nr. Runnelstown, MS",1585.07,2.9399,0.00058,0.00033,42.6,2.76,173.9
1543,"Soar and Thorne, 2001","Tombigbee, nr. Amory, MS",4998.68,2.1306,0.00021,0.00027,80.5,4.52,489.4
1544,"Soar and Thorne, 2001","Trinity, Romayor, TX",44511.57,1.6574,0.00013,0.00028,188.6,5.89,1306.6
1545,"Soar and Thorne, 2001","Wabash, Montezuma, IN",28795.51,0.4735,0.00007,0.0005,178,5.58,957.9
1546,"Soar and Thorne, 2001","Wabash, Riverton, IN",34086.86,0.3991,0.00013,0.00091,204.2,4.61,1019
1547,"Soar and Thorne, 2001","Wapsinicon, nr. De Witt, IA",6050.22,1.3161,0.00049,0.00044,121.8,1.95,267.4
1548,"Soar and Thorne, 2001","Washita, Anadarko, OK",9427.56,1.6598,0.00038,0.00029,55.1,2.09,130.7
1549,"Soar and Thorne, 2001","Washita, nr. Dickson, OK",18575.41,4.5117,0.00043,0.00016,142.9,2.77,463.6
1550,"Soar and Thorne, 2001","White, East Fork, Seymour, IN",6063.17,0.3404,0.00028,0.00163,87.2,3.27,313
1551,"Soar and Thorne, 2001","White, Petersburg, IN",28813.64,0.755,0.00014,0.00059,171.4,5.25,1030.4
1552,"Soar and Thorne, 2001","White, West Fork, Newberry, IN",12141.87,0.4463,0.00019,0.00105,123.9,4.07,561.6
1553,"Soar and Thorne, 2001","Wolf, Rossville, TN",1302.76,1.574,0.00045,0.00035,29.3,2.02,63
1554,"Southerland, 2003","SAUK RIVER AB WHITE CHUCK RIVER NR  DARRINGTON, WA",393.68,,0.0014,,83,1.55,145.55
1555,"Stillwater Sciences, 2010",SESPE CREEK NEAR FILLMORE,,0.0857,0.009,0.07,57,1.1,125
1556,"Struiksma and Klaassen, 1988; Li et al., 2015",Rio Parana (Argentina),,1.0101,0.00005,0.0003,1600,10,16000
1557,"Sweet and Geratz, 2003",Ahoskie Creek,163.95,,0.0003,,14.3,1.22,4.7
1558,"Sweet and Geratz, 2003",Bear Creek,149.44,,0.0005,,14.45,1.4,6.82
1559,"Sweet and Geratz, 2003",Cashie River,279.72,,0.0008,,27.8,0.37,1.82
1560,"Sweet and Geratz, 2003",Herrings Marsh Run 1,5.83,,0.001,,3.54,0.43,0.81
1561,"Sweet and Geratz, 2003",Herrings Marsh Run 2,23.59,,0.0001,,7.89,0.7,1.67
1562,"Sweet and Geratz, 2003",Hood Creek,55.94,,0.0001,,13.32,0.91,2.76
1563,"Sweet and Geratz, 2003",Nahunta Swamp,208.24,,0.0005,,14.26,1.77,10.51
1564,"Sweet and Geratz, 2003",New River,243.46,,0.0003,,18.29,2.01,13.3
1565,"Sweet and Geratz, 2003",Rockfish Creek,241.13,,0.0006,,12.8,1.16,4.93
1566,"Sweet and Geratz, 2003",Swift Creek,471.38,,0.0001,,27.22,1.86,20.9
1567,"Sweet and Geratz, 2003",Trent River,435.12,,0.0001,,23.16,2.41,9.63
1568,"Sweet and Geratz, 2003",Van Swamp,59.57,,0.0008,,6.04,0.55,1.19
1569,"Topping, 1997; Topping et al 2000","PARIA RIVER AT LEES FERRY, AZ",3651.89,10.5051,0.004,0.0003,23,1.3,90
1570,"Torizzo and pitlick, 2004","Clear Creek, CO",173.79,0.0689,0.0063,0.041,15.8,0.74,23.6
1571,"Torizzo and pitlick, 2004","Colorado River, CO",165.24,0.0237,0.001,0.023,12.8,0.9,14.3
1572,"Torizzo and pitlick, 2004","Halfmoon Creek – Gage site, CO",60.86,0.2008,0.0178,0.036,7.4,0.67,6.2
1573,"Torizzo and Pitlick, 2004","LEAVENWORTH CREEK AT MOUTH NEAR GEORGETOWN, CO",31.08,0.165,0.0363,0.08,4.5,0.6,3.1
1574,"Torizzo and pitlick, 2004","North Saint Vrain, CO",84.43,0.0755,0.0117,0.062,14.4,0.66,11.6
1575,"Torizzo and pitlick, 2004","Rock Creek, CO",123.28,0.0605,0.0049,0.026,8.7,0.53,6.2
1576,"Torizzo and pitlick, 2004","South Clear Creek, CO",29.27,0.292,0.0432,0.052,5.2,0.58,3.5
1577,"Torizzo and pitlick, 2004","South Fork Williams Fork, CO",70.97,0.0795,0.0163,0.077,9.1,0.62,9.7
1578,"Torizzo and pitlick, 2004","Williams Fork above Darling Creek, near Leal, CO",91.17,0.0131,0.0012,0.03,10.8,0.54,12.8
1579,"Torizzo and pitlick, 2004","Williams Fork downstream Leal, CO",231.8,0.0357,0.0038,0.031,21.2,0.48,23.7
1580,"Van den Berg, 1995; Li et al., 2015",Assiniboine,,6.6667,0.001,0.0004,200,4.4,290
1581,"Van den Berg, 1995; Li et al., 2015",Barwon,,2.3232,0.000115,0.00015,40,5,210
1582,"Van den Berg, 1995; Li et al., 2015",Mississippi,,4.552,0.000248,0.00035,1975,10.6,28000
1583,"Van den Berg, 1995; Li et al., 2015",Saskatchewan,,1.7333,0.000286,0.0003,600,3,1240
1584,"Van den Berg, 1995; Li et al., 2015","Sinú River; Bogata, Columbia",,2.1818,0.000288,0.0004,140,5,1200
1585,"VTDEC, 2006",Black River,,0.0321,0.0004,0.0099,21.52,1.31,48.87
1586,"VTDEC, 2006",E. Orange Bridge,,0.2951,0.0132,0.0157,8.56,0.58,5.28
1587,"VTDEC, 2006",Laplatte River,,0.0285,0.001,0.0162,23.59,0.76,20.78
1588,"VTDEC, 2006",Ottauquechee River,,0.0966,0.0017,0.0104,19.05,0.98,18.72
1589,"VTDEC, 2006",Sleepers River,,0.0239,0.0007,0.0168,20.91,0.94,37.15
1590,"VTDEC, 2006; Li et al., 2015",Little Otter Creek,,1.1545,0.002,0.0008,23.59,0.76,24.17
1591,"VTDEC, 2006; Li et al., 2015",Mad River 2,,0.0721,0.002,0.0205,42.06,1.22,140.45
1592,"Wallick et al., 2009; O'Connor et al., 2014; width and discharge estimated from USGS gage measurements","Chetco River nr Brookings, OR",,0.1124,0.0014,0.03773,56.5,5,539.7
1593,"Westergard et al., 2005",Little Delaware River,128.98,0.117,0.004,0.020633333,22.95,1,48.14
1594,"Westergard et al., 2005",Tioughnioga River,756.28,0.0609,0.001,0.0171,58.17,1.72,106.75
1595,"Whiting and Moog, 2001","Big Springs, ID",0.15,0.1386,0.00098,0.003,68.4,0.7,20.5
1596,"Whiting and Moog, 2001","Black Sands Creek, MT",0.08,0.039,0.00092,0.004,25.4,0.28,0.85
1597,"Whiting and Moog, 2001","Browns Creek A, OR",0.65,0.1427,0.00883,0.009,10.1,0.24,0.28
1598,"Whiting and Moog, 2001","Browns Creek B, OR",55.9,0.0612,0.00774,0.023,10.3,0.3,1.22
1599,"Whiting and Moog, 2001","Buffalo River A, ID",0.8,0.1076,0.00296,0.006,14.7,0.36,0.31
1600,"Whiting and Moog, 2001","Buffalo River B, ID",24.1,0.0725,0.00299,0.01,8.03,0.4,1.39
